,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nStepSeq,MeanChor Seq,nChorSeq,MeanSS,nSS,MeanTR,nTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
0,🇺🇸,Nathan Chen,0,0,2,0,0,288.28,2,132.86,2,152.1,2,136.68,2,11.08,20,4.28,12,5.16,4,5.32,2,9.23,4,8.87,4,9.08,4,9.19,4,9.12,4
1,🇯🇵,Yuma Kagiyama,0,0,2,0,0,282.22,2,125.28,2,148.74,2,133.48,2,10.99,20,4.26,12,4.35,4,4.57,2,9.04,4,8.66,4,8.81,4,8.97,4,8.88,4
2,🇯🇵,Shoma Uno,0,0,2,0,0,280.42,2,125.03,2,145.54,2,134.88,2,10.83,20,3.91,12,4.94,4,3.86,2,9.16,4,8.78,4,9.07,4,9.05,4,9,4
3,🇺🇸,Vincent Zhou,0,1,2,0,0,280.16,3,135.84,3,150.15,3,130.01,3,11.11,30,4.07,18,5.01,6,4.58,3,8.62,6,8.5,6,8.71,6,8.71,6,8.74,6
4,🇷🇺,Mikhail Kolyada,0,1,2,0,0,265.06,3,123.43,3,134.82,3,131.57,3,9.48,30,4.37,18,4.73,6,4.35,3,8.86,6,8.63,6,8.66,6,8.92,6,8.77,6
5,🇺🇸,Jason Brown,0,1,2,0,0,262.09,3,105.77,3,125.11,3,137.64,3,8.23,30,4.35,18,5.61,6,5.44,3,9.12,6,9.07,6,9.08,6,9.37,6,9.31,6
6,🇰🇷,Junhwan Cha,0,0,2,1,0,260.19,3,117.06,3,131.56,3,129.63,3,9.16,30,4.18,18,4.91,6,5.09,3,8.68,6,8.47,6,8.67,6,8.81,6,8.75,6
7,🇯🇵,Kazuki Tomono,0,0,2,1,0,259.43,3,120.91,3,134.89,3,125.21,3,10.01,30,3.52,18,4.38,6,4.96,3,8.39,6,8.06,6,8.32,6,8.37,6,8.37,6
8,🇱🇻,Deniss Vasiljevs,0,1,2,1,0,256.27,4,112.21,4,129.71,4,127.06,4,8.95,40,4.23,24,5.16,8,4.52,4,8.42,8,8.18,8,8.52,8,8.52,8,8.68,8
9,🇯🇵,Shun Sato,0,0,2,0,0,256.02,2,130.82,2,136.2,2,120.82,2,10.18,20,3.7,12,4.06,4,4.07,2,8.16,4,7.87,4,7.97,4,8.06,4,7.96,4
10,🇷🇺,Mark Kondratiuk,0,2,1,1,0,252.4,4,122.74,4,131.18,4,121.97,4,9.67,40,3.58,24,4.34,8,4.36,4,8.13,8,7.84,8,8.14,8,8.16,8,8.25,8
11,🇷🇺,Evgeni Semenenko,0,1,2,1,0,251.22,4,123.28,4,132.1,4,120.13,4,9.6,40,3.85,24,4.33,8,4.36,4,8.12,8,7.71,8,8.02,8,8.08,8,8.05,8
12,🇮🇹,Daniel Grassl,0,2,2,1,0,251.13,5,131.98,5,134.06,5,118.08,5,9.81,50,3.85,30,4.47,10,3.93,5,7.88,10,7.69,10,7.9,10,7.97,10,7.99,10
13,🇷🇺,Makar Ignatov,0,0,2,0,0,250.68,2,125.22,2,137.76,2,113.42,2,10.76,20,3.29,12,3.53,4,3.36,2,7.76,4,7.33,4,7.59,4,7.68,4,7.45,4
14,🇷🇺,Andrei Mozalev,0,2,1,1,0,250.11,4,122.04,4,129.91,4,121.45,4,9.36,40,3.89,24,4.42,8,4.12,4,8.11,8,7.98,8,8,8,8.15,8,8.11,8
15,🇮🇹,Matteo Rizzo,0,1,2,0,0,248.35,3,110.61,3,125.2,3,123.82,3,8.81,30,3.87,18,4.85,6,4.17,3,8.18,6,7.96,6,8.24,6,8.32,6,8.34,6
16,🇨🇦,Keegan Messing,0,2,2,0,0,247.26,4,106.51,4,121.24,4,127.27,4,8.43,40,3.93,24,4.31,8,4.76,4,8.61,8,8.34,8,8.5,8,8.56,8,8.58,8
17,🇷🇺,Peter Gumennik,0,2,1,0,0,244.27,3,118.7,3,126.94,3,118.67,3,9.11,30,3.88,18,4.3,6,3.96,3,7.98,6,7.66,6,7.86,6,8,6,8.03,6
18,🇬🇪,Morisi Kvitelashvili,0,2,2,1,0,243.18,5,119.1,5,125.72,5,118.66,5,9.02,50,3.78,30,4.4,10,4.01,5,7.95,10,7.68,10,7.84,10,7.95,10,7.94,10
19,🇨🇳,Boyang Jin,0,0,1,0,0,242.27,1,125.5,1,124.46,1,119.81,1,9.08,10,3.52,6,4.36,2,3.86,1,8.3,2,7.74,2,8.08,2,8.07,2,8.1,2
20,🇯🇵,Kao Miura,0,0,1,1,0,241.98,2,115.78,2,126.86,2,115.62,2,9.77,20,3.03,12,3.7,4,3.55,2,7.82,4,7.41,4,7.74,4,7.72,4,7.57,4
21,🇷🇺,Dmitri Aliev,0,1,2,0,0,240.16,3,111.38,3,120.52,3,120.64,3,8.63,30,3.57,18,4.24,6,4.33,3,8.17,6,7.76,6,7.98,6,8.16,6,8.11,6
22,🇷🇺,Alexander Samarin,0,0,2,0,0,239.92,2,117.66,2,124.02,2,116.41,2,8.85,20,3.82,12,4.36,4,3.82,2,7.99,4,7.52,4,7.72,4,7.84,4,7.8,4
23,🇯🇵,Sota Yamamoto,0,1,2,0,0,237.43,3,112.04,3,120.99,3,117.44,3,8.51,30,4.01,18,3.69,6,4.51,3,7.99,6,7.48,6,7.86,6,7.86,6,7.93,6
24,🇫🇷,Kévin Aymoz,0,1,1,1,1,236.57,3,100.02,3,112.16,3,125.08,3,7.01,33,3.78,21,5.01,7,4.75,3,8.24,6,8.08,6,8.07,6,8.29,6,8.36,6
