,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nstepseq,MeanChor Seq,nchorseq,MeanSS,nSS,MeanTR,NTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
0,🇷🇺,Kamila Valieva,0,1,2,1,0,261.52,4,119.54,4,150.75,4,111.52,4,10.63,40,4.76,24,5.54,8,4.81,4,9.28,8,9.09,8,9.32,8,9.34,8,9.36,8
1,🇷🇺,Anna Shcherbakova,0,0,2,1,0,234.63,3,102.99,3,126.51,3,108.79,3,8.53,30,4.33,18,5.3,6,4.6,3,8.98,6,8.89,6,9.06,6,9.13,6,9.14,6
2,🇷🇺,Alexandra Trusova,0,0,1,1,0,233.36,2,113.15,2,130.5,2,104.36,2,9.18,20,4.18,12,4.69,4,4.25,2,8.8,4,8.51,4,8.75,4,8.78,4,8.73,4
3,🇷🇺,Elizaveta Tuktamysheva,0,1,2,0,0,231.8,3,104.62,3,124.58,3,107.22,3,8.56,30,4.05,18,4.97,6,4.72,3,8.76,6,8.54,6,9.13,6,9,6,9.19,6
4,🇷🇺,Sofia Akateva,2,0,0,0,0,229.36,2,117.3,2,137.11,2,92.75,2,10.08,20,4.31,12,5.2,4,Null,0,7.8,4,7.51,4,7.88,4,7.73,4,7.8,4
5,🇯🇵,Kaori Sakamoto,0,0,2,0,0,219.64,2,92.44,2,113.38,2,106.25,2,7.5,20,3.99,12,5.02,4,4.4,2,9,4,8.61,4,8.93,4,8.84,4,8.84,4
6,🇷🇺,Alena Kostornaia,0,1,2,0,0,218.41,3,99.43,3,114.81,3,103.93,3,7.72,30,4.19,18,4.22,6,4.08,3,8.78,6,8.46,6,8.75,6,8.7,6,8.74,6
7,🇷🇺,Daria Usacheva,0,0,1,0,0,217.31,1,93.61,1,113.29,1,104.02,1,7.21,10,4.36,6,5.18,2,4.71,1,8.61,2,8.48,2,8.76,2,8.68,2,8.73,2
8,🇷🇺,Veronika Zhilina,1,0,0,0,0,216.92,1,106.15,1,123.94,1,93.98,1,9.2,10,4.05,6,3.81,2,Null,0,7.88,2,7.66,2,7.86,2,7.76,2,7.91,2
9,🇯🇵,Mai Mihara,0,0,2,1,0,214.33,3,95.13,3,115.11,3,99.22,3,7.69,30,3.96,18,4.99,6,4.52,3,8.19,6,8,6,8.33,6,8.24,6,8.24,6
